date,city,driving_waze,state
2020-07-12,Shah Alam,-7.000000000000001,Selangor
2020-07-13,Shah Alam,-4.0,Selangor
2020-07-14,Shah Alam,-7.000000000000001,Selangor
2020-07-15,Shah Alam,-7.000000000000001,Selangor
2020-07-16,Shah Alam,-9.0,Selangor
2020-07-17,Shah Alam,-5.0,Selangor
2020-07-18,Shah Alam,-14.000000000000002,Selangor
2020-07-19,Shah Alam,-8.0,Selangor
2020-07-20,Shah Alam,0.0,Selangor
2020-07-21,Shah Alam,-3.0,Selangor
2020-07-22,Shah Alam,2.0,Selangor
2020-07-23,Shah Alam,2.0,Selangor
2020-07-24,Shah Alam,-4.0,Selangor
2020-07-25,Shah Alam,-5.0,Selangor
2020-07-26,Shah Alam,-2.0,Selangor
2020-07-27,Shah Alam,11.0,Selangor
2020-07-28,Shah Alam,1.0,Selangor
2020-07-29,Shah Alam,10.0,Selangor
2020-07-30,Shah Alam,-11.0,Selangor
2020-07-31,Shah Alam,-52.0,Selangor
2020-08-01,Shah Alam,-33.0,Selangor
2020-08-02,Shah Alam,2.0,Selangor
2020-08-03,Shah Alam,14.000000000000002,Selangor
2020-08-04,Shah Alam,0.0,Selangor
2020-08-05,Shah Alam,12.0,Selangor
2020-08-06,Shah Alam,-1.0,Selangor
2020-08-07,Shah Alam,-7.000000000000001,Selangor
2020-08-08,Shah Alam,4.0,Selangor
2020-08-09,Shah Alam,-5.0,Selangor
2020-08-10,Shah Alam,8.0,Selangor
2020-08-11,Shah Alam,3.0,Selangor
2020-08-12,Shah Alam,7.000000000000001,Selangor
2020-08-13,Shah Alam,5.0,Selangor
2020-08-14,Shah Alam,1.0,Selangor
2020-08-15,Shah Alam,-8.0,Selangor
2020-08-16,Shah Alam,-8.0,Selangor
2020-08-17,Shah Alam,5.0,Selangor
2020-08-18,Shah Alam,4.0,Selangor
2020-08-19,Shah Alam,15.0,Selangor
2020-08-20,Shah Alam,-14.000000000000002,Selangor
2020-08-21,Shah Alam,-25.0,Selangor
2020-08-22,Shah Alam,-12.0,Selangor
2020-08-23,Shah Alam,0.0,Selangor
2020-08-24,Shah Alam,6.0,Selangor
2020-08-25,Shah Alam,6.0,Selangor
2020-08-26,Shah Alam,5.0,Selangor
2020-08-27,Shah Alam,13.0,Selangor
2020-08-28,Shah Alam,3.0,Selangor
2020-08-29,Shah Alam,-8.0,Selangor
2020-08-30,Shah Alam,0.0,Selangor
2020-08-31,Shah Alam,8.0,Selangor
2020-09-01,Shah Alam,9.0,Selangor
2020-09-02,Shah Alam,10.0,Selangor
2020-09-03,Shah Alam,13.0,Selangor
2020-09-04,Shah Alam,6.0,Selangor
2020-09-05,Shah Alam,-8.0,Selangor
2020-09-06,Shah Alam,8.0,Selangor
2020-09-07,Shah Alam,13.0,Selangor
2020-09-08,Shah Alam,10.0,Selangor
2020-09-09,Shah Alam,9.0,Selangor
2020-09-10,Shah Alam,10.0,Selangor
2020-09-11,Shah Alam,5.0,Selangor
