date,city,congestion,diffRatio
2021-04-21,Kuala Lumpur,36,0.1612903225806451
2021-04-22,Kuala Lumpur,37,0.1212121212121212
2021-04-23,Kuala Lumpur,38,0.0
2021-04-24,Kuala Lumpur,30,0.2
2021-04-25,Kuala Lumpur,19,0.5833333333333334
2021-04-26,Kuala Lumpur,37,0.3703703703703703
2021-04-27,Kuala Lumpur,43,0.3870967741935484
2021-04-28,Kuala Lumpur,38,0.2258064516129032
2021-04-29,Kuala Lumpur,21,-0.3636363636363636
2021-04-30,Kuala Lumpur,40,0.0526315789473684
2021-05-01,Kuala Lumpur,23,-0.08
2021-05-02,Kuala Lumpur,20,0.6666666666666666
2021-05-03,Kuala Lumpur,39,0.4444444444444444
2021-05-04,Kuala Lumpur,39,0.2580645161290322
2021-05-05,Kuala Lumpur,63,1.032258064516129
2021-05-06,Kuala Lumpur,26,-0.2121212121212121
2021-05-07,Kuala Lumpur,24,-0.3684210526315789
2021-05-08,Kuala Lumpur,19,-0.24
2021-05-09,Kuala Lumpur,16,0.3333333333333333
2021-05-10,Kuala Lumpur,29,0.074074074074074
2021-05-11,Kuala Lumpur,24,-0.2258064516129032
2021-05-12,Kuala Lumpur,20,-0.3548387096774194
2021-05-13,Kuala Lumpur,9,-0.7272727272727273
2021-05-14,Kuala Lumpur,10,-0.7368421052631579
2021-05-15,Kuala Lumpur,11,-0.56
2021-05-16,Kuala Lumpur,10,-0.1666666666666666
2021-05-17,Kuala Lumpur,22,-0.1851851851851851
2021-05-18,Kuala Lumpur,23,-0.2580645161290322
2021-05-19,Kuala Lumpur,22,-0.2903225806451613
